Sequela,Health state name,Health state lay description,disability weight,lower,uppper
Moderate motor impairment due to pneumococcal meningitis,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.",0.061,0.04,0.089
Mild hearing loss with ringing due to pneumococcal meningitis,"Hearing loss, mild, with ringing","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street), and sometimes has annoying ringing in the ears.",0.021,0.012,0.036
Moderate motor plus cognitive impairments due to pneumococcal meningitis,"Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.",0.203,0.134,0.29
Mild intellectual disability due to pneumococcal meningitis,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.",0.043,0.026,0.064
Complete hearing loss with ringing due to pneumococcal meningitis,"Hearing loss, complete, with ringing","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone, and has very annoying ringing in the ears for more than half of the day. Difficulties with communicating and relating to others often cause worry, depression or loneliness.",0.316,0.212,0.435
Mild motor plus cognitive impairments due to pneumococcal meningitis,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.031,0.018,0.05
Moderate hearing loss due to pneumococcal meningitis,"Hearing loss, moderate","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone.",0.027,0.015,0.042
Moderate vision impairment due to pneumococcol meningitis,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,0.031,0.019,0.049
Mild hearing loss due to pneumococcal meningitis,"Hearing loss, mild","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street).",0.01,0.004,0.019
Severe motor impairment due to pneumococcal meningitis,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ",0.402,0.268,0.545
Blindness due to pneumococcal meningitis,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ",0.187,0.124,0.26
Complete hearing loss due to pneumococcal meningitis,"Hearing loss, complete","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone. Difficulties with communicating and relating to others often cause worry, depression or loneliness.",0.215,0.144,0.307
Monocular distance vision loss due to H influenzae type B meningitis,"Distance vision, monocular",is blind in one eye and has difficulty judging distances,0.017,0.009,0.029
Profound hearing loss due to H influenzae type B meningitis,"Hearing loss, profound","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, and has great difficulty hearing anything in any other situation. Difficulties with communicating and relating to othersoften cause worry, depression, and loneliness.",0.204,0.134,0.288
Complete hearing loss due to H influenzae type B meningitis,"Hearing loss, complete","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone. Difficulties with communicating and relating to others often cause worry, depression or loneliness.",0.215,0.144,0.307
Blindness due to H influenzae type B meningitis,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ",0.187,0.124,0.26
Complete hearing loss with ringing due to H influenzae type B meningitis,"Hearing loss, complete, with ringing","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone, and has very annoying ringing in the ears for more than half of the day. Difficulties with communicating and relating to others often cause worry, depression or loneliness.",0.316,0.212,0.435
Severe hearing loss with ringing due to H influenzae type B meningitis,"Hearing loss, severe, with ringing","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).",0.261,0.175,0.36
Profound hearing loss with ringing due to H influenzae type B meningitis,"Hearing loss, profound, with ringing","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, has great difficulty hearing anything in any other situation, and has annoying ringing in the ears for more than 5 minutes at a time, several times a day. Difficulties with communicating and relating to others often cause worry, depression, or loneliness.",0.277,0.182,0.387
Severe vision impairment due to H influenza type B meningitis,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184,0.125,0.258
Moderate vision impairment due to H influenza type B meningitis,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,0.031,0.019,0.049
Mild hearing loss with ringing due to H influenzae type B meningitis,"Hearing loss, mild, with ringing","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street), and sometimes has annoying ringing in the ears.",0.021,0.012,0.036
Moderate hearing loss with ringing due to H influenzae type B meningitis,"Hearing loss, moderate, with ringing","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday.",0.074,0.049,0.107
Severe hearing loss due to H influenzae type B meningitis,"Hearing loss, severe","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).",0.158,0.105,0.227
Moderate motor plus cognitive impairments due to H influenzae type B meningitis,"Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.",0.203,0.134,0.29
Mild intellectual disability due to H influenzae type B meningitis,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.",0.043,0.026,0.064
Mild motor plus cognitive impairments due to H influenzae type B meningitis,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.031,0.018,0.05
Severe motor impairment due to H influenzae type B meningitis,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ",0.402,0.268,0.545
Mild hearing loss due to H influenzae type B meningitis,"Hearing loss, mild","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street).",0.01,0.004,0.019
Severe motor plus cognitive impairments due to H influenzae type B meningitis,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.",0.542,0.374,0.702
Moderately severe hearing loss due to H influenzae type B meningitis,"Hearing loss, moderately severe",(custom DW from hearing loss impairment envelope),,,
Moderate hearing loss due to H influenzae type B meningitis,"Hearing loss, moderate","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone.",0.027,0.015,0.042
Mild behavioral problems due to H influenzae type B meningitis,Attention deficit hyperactivity disorder,"is hyperactive and has difficulty concentrating, remembering things, and completing tasks. ",0.045,0.028,0.066
Acute H influenzae type B meningitis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
Mild motor impairment due to long term due to H influenzae type B meningitis,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,0.01,0.005,0.019
Epilepsy due to H influenzae type B meningitis,Epilepsy,(combined DW),,,
Moderately severe hearing loss with ringing due to H influenzae type B meningitis,"Hearing loss, moderately severe, with ringing",(custom DW from hearing loss impairment envelope),,,
Moderate motor impairment due to H influenzae type B meningitis,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.",0.061,0.04,0.089
Borderline intellectual disability due to H influenzae type B meningitis,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.011,0.005,0.02
Mild behavioral problems due to meningococcal meningitis,Attention deficit hyperactivity disorder,"is hyperactive and has difficulty concentrating, remembering things, and completing tasks. ",0.045,0.028,0.066
Mild hearing loss with ringing due to meningococcal meningitis,"Hearing loss, mild, with ringing","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street), and sometimes has annoying ringing in the ears.",0.021,0.012,0.036
Complete hearing loss due to meningococcal meningitis,"Hearing loss, complete","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone. Difficulties with communicating and relating to others often cause worry, depression or loneliness.",0.215,0.144,0.307
Severe hearing loss due to meningococcal meningitis,"Hearing loss, severe","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).",0.158,0.105,0.227
Mild intellectual disability due to meningococcal meningitis,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.",0.043,0.026,0.064
Mild hearing loss due to meningococcal meningitis,"Hearing loss, mild","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street).",0.01,0.004,0.019
Moderate hearing loss due to meningococcal meningitis,"Hearing loss, moderate","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone.",0.027,0.015,0.042
Profound hearing loss due to meningococcal meningitis,"Hearing loss, profound","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, and has great difficulty hearing anything in any other situation. Difficulties with communicating and relating to othersoften cause worry, depression, and loneliness.",0.204,0.134,0.288
Borderline intellectual disability due to meningococcal meningitis,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.011,0.005,0.02
Moderately severe hearing loss due to meningococcal meningitis,"Hearing loss, moderately severe",(custom DW from hearing loss impairment envelope),,,
Moderate vision impairment due to meningococcal meningitis,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,0.031,0.019,0.049
Blindness due to meningococcal meningitis,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ",0.187,0.124,0.26
Mild motor plus cognitive impairments due to meningococcal meningitis,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.031,0.018,0.05
Epilepsy due to meningococcal meningitis,Epilepsy,(combined DW),,,
Moderate motor impairment due to meningococcal meningitis,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.",0.061,0.04,0.089
Severe vision impairment due to meningococcal meningitis,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.",0.184,0.125,0.258
Severe motor impairment due to meningococcal meningitis,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ",0.402,0.268,0.545
Moderate motor plus cognitive impairments due to meningococcal meningitis,"Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.",0.203,0.134,0.29
Moderate hearing loss with ringing due to meningococcal meningitis,"Hearing loss, moderate, with ringing","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday.",0.074,0.049,0.107
Severe motor plus cognitive impairments due to meningococcal meningitis,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.",0.542,0.374,0.702
Monocular distance vision loss due to meningococcal meningitis,"Distance vision, monocular",is blind in one eye and has difficulty judging distances,0.017,0.009,0.029
Profound hearing loss with ringing due to meningococcal meningitis,"Hearing loss, profound, with ringing","is unable to hear and understand another person talking, even in a quiet place, is unable to take part in a phone conversation, has great difficulty hearing anything in any other situation, and has annoying ringing in the ears for more than 5 minutes at a time, several times a day. Difficulties with communicating and relating to others often cause worry, depression, or loneliness.",0.277,0.182,0.387
Mild motor impairment due to long term due to meningococcal meningitis,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,0.01,0.005,0.019
Acute meningococcal meningitis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.",0.133,0.088,0.19
Severe hearing loss with ringing due to meningococcal meningitis,"Hearing loss, severe, with ringing","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).",0.261,0.175,0.36
Complete hearing loss with ringing due to meningococcal meningitis,"Hearing loss, complete, with ringing","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone, and has very annoying ringing in the ears for more than half of the day. Difficulties with communicating and relating to others often cause worry, depression or loneliness.",0.316,0.212,0.435
Moderately severe hearing loss with ringing due to meningococcal meningitis,"Hearing loss, moderately severe, with ringing",(custom DW from hearing loss impairment envelope),,,
Mild intellectual disability due to other bacterial meningitis,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.",0.043,0.026,0.064
Moderate hearing loss with ringing due to other bacterial meningitis,"Hearing loss, moderate, with ringing","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday.",0.074,0.049,0.107
Mild motor plus cognitive impairments due to other bacterial meningitis,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.031,0.018,0.05
Borderline intellectual disability due to other bacterial meningitis,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.",0.011,0.005,0.02
Moderate motor plus cognitive impairments due to other bacterial meningitis,"Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.",0.203,0.134,0.29
Mild behavioral problems due to other bacterial meningitis,Attention deficit hyperactivity disorder,"is hyperactive and has difficulty concentrating, remembering things, and completing tasks. ",0.045,0.028,0.066
Severe motor plus cognitive impairments due to other bacterial meningitis,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.",0.542,0.374,0.702
Severe motor impairment due to other bacterial meningitis,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ",0.402,0.268,0.545
Moderately severe hearing loss due to other bacterial meningitis,"Hearing loss, moderately severe",(custom DW from hearing loss impairment envelope),,,
Monocular distance vision loss due to other bacterial meningitis,"Distance vision, monocular",is blind in one eye and has difficulty judging distances,0.017,0.009,0.029
Mild hearing loss due to other bacterial meningitis,"Hearing loss, mild","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street).",0.01,0.004,0.019
Moderate hearing loss due to other bacterial meningitis,"Hearing loss, moderate","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone.",0.027,0.015,0.042
Epilepsy due to other meningitis,Epilepsy,(combined DW),,,
Moderately severe hearing loss with ringing due to other bacterial meningitis,"Hearing loss, moderately severe, with ringing",(custom DW from hearing loss impairment envelope),,,
Severe hearing loss due to other bacterial meningitis,"Hearing loss, severe","is unable to hear and understand another person talking, even in a quiet place, and unable to take part in a phone conversation. Difficulties with communicating and relating to others cause emotional impact at times (for example worry or depression).",0.158,0.105,0.227
Blindness due to other bacterial meningitis,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ",0.187,0.124,0.26
